stage_position,position_within_field_of_view,sine_amplitude,sine_period,problem
0,0,20,100,0
0,1,20,100,0
0,2,20,100,0
1,0,20,50,0
1,1,20,100,0
1,2,20,100,0
2,0,20,50,0
2,1,20,50,0
2,2,20,50,0
3,0,20,20,0
3,1,20,20,0
3,2,20,50,0
4,0,20,20,0
4,1,20,20,0
4,2,20,20,0
5,0,20,10,0
5,1,20,10,0
5,2,20,10,0
6,0,20,0,0
6,1,20,10,0
6,2,20,10,0
7,0,20,0,0
7,1,20,0,0
7,2,20,0,0
8,0,20,0,0
8,1,20,0,0
8,2,20,0,0
9,0,20,0,0
9,1,20,0,0
9,2,20,0,0
10,0,20,100,0
10,1,20,100,0
10,2,20,100,0
11,0,20,50,0
11,1,20,100,0
11,2,20,100,0
12,0,20,50,0
12,1,20,50,0
12,2,20,50,0
13,0,20,20,0
13,1,20,20,0
13,2,20,50,0
14,0,20,20,0
14,1,20,20,0
14,2,20,20,0
15,0,20,10,0
15,1,20,10,0
15,2,20,10,0
16,0,20,0,0
16,1,20,10,0
16,2,20,10,0
17,0,20,0,0
17,1,20,0,0
17,2,20,0,0
18,0,20,0,0
18,1,20,0,0
18,2,20,0,0
19,0,20,0,0
19,1,20,0,0
19,2,20,0,0
20,0,20,100,0
20,1,20,100,0
20,2,20,100,0
21,0,20,50,0
21,1,20,100,0
21,2,20,100,0
22,0,20,50,0
22,1,20,50,0
22,2,20,50,0
23,0,20,20,0
23,1,20,20,0
23,2,20,50,0
24,0,20,20,0
24,1,20,20,0
24,2,20,20,0
25,0,20,10,0
25,1,20,10,0
25,2,20,10,0
26,0,20,0,0
26,1,20,10,0
26,2,20,10,0
27,0,20,0,0
27,1,20,0,0
27,2,20,0,0
28,0,20,0,0
28,1,20,0,0
28,2,20,0,0
29,0,20,0,0
29,1,20,0,0
29,2,20,0,0
30,0,20,100,0
30,1,20,100,0
30,2,20,100,0
31,0,20,50,0
31,1,20,100,0
31,2,20,100,0
32,0,20,50,0
32,1,20,50,0
32,2,20,50,0
33,0,20,20,0
33,1,20,20,0
33,2,20,50,0
34,0,20,20,0
34,1,20,20,0
34,2,20,20,0
35,0,20,10,0
35,1,20,10,0
35,2,20,10,0
36,0,20,0,0
36,1,20,10,0
36,2,20,10,0
37,0,20,0,0
37,1,20,0,0
37,2,20,0,0
38,0,20,0,0
38,1,20,0,0
38,2,20,0,0
39,0,20,0,0
39,1,20,0,0
39,2,20,0,0
40,0,10,0,0
40,1,10,0,0
40,2,10,0,0
41,0,10,0,0
41,1,10,0,0
41,2,10,0,0
42,0,10,0,0
42,1,10,0,0
42,2,10,0,0
43,0,10,0,0
43,1,10,10,0
43,2,10,10,0
44,0,10,10,0
44,1,10,10,0
44,2,10,10,0
45,0,10,20,0
45,1,10,20,0
45,2,10,20,0
46,0,10,20,0
46,1,10,20,0
46,2,10,50,0
47,0,10,50,0
47,1,10,50,0
47,2,10,50,0
48,0,10,50,0
48,1,10,100,0
48,2,10,100,0
49,0,10,100,0
49,1,10,100,0
49,2,10,100,0
50,0,10,0,0
50,1,10,0,0
50,2,10,0,0
51,0,10,0,0
51,1,10,0,0
51,2,10,0,0
52,0,10,0,0
52,1,10,0,0
52,2,10,0,0
53,0,10,0,0
53,1,10,10,0
53,2,10,10,0
54,0,10,10,0
54,1,10,10,0
54,2,10,10,0
55,0,10,20,0
55,1,10,20,0
55,2,10,20,0
56,0,10,20,0
56,1,10,20,0
56,2,10,50,0
57,0,10,50,0
57,1,10,50,0
57,2,10,50,0
58,0,10,50,0
58,1,10,100,0
58,2,10,100,0
59,0,10,100,0
59,1,10,100,0
59,2,10,100,0
60,0,10,0,0
60,1,10,0,0
60,2,10,0,0
61,0,10,0,0
61,1,10,0,0
61,2,10,0,0
62,0,10,0,0
62,1,10,0,0
62,2,10,0,0
63,0,10,0,0
63,1,10,10,0
63,2,10,10,0
64,0,10,10,0
64,1,10,10,0
64,2,10,10,0
65,0,10,20,0
65,1,10,20,0
65,2,10,20,0
66,0,10,20,0
66,1,10,20,0
66,2,10,50,0
67,0,10,50,0
67,1,10,50,0
67,2,10,50,0
68,0,10,50,0
68,1,10,100,0
68,2,10,100,0
69,0,10,100,0
69,1,10,100,0
69,2,10,100,0
70,0,10,0,0
70,1,10,0,0
70,2,10,0,0
71,0,10,0,0
71,1,10,0,0
71,2,10,0,0
72,0,10,0,0
72,1,10,0,0
72,2,10,0,0
73,0,10,0,0
73,1,10,10,0
73,2,10,10,0
74,0,10,10,0
74,1,10,10,0
74,2,10,10,0
75,0,10,20,0
75,1,10,20,0
75,2,10,20,0
76,0,10,20,0
76,1,10,20,0
76,2,10,50,0
77,0,10,50,0
77,1,10,50,0
77,2,10,50,0
78,0,10,50,0
78,1,10,100,0
78,2,10,100,0
79,0,10,100,0
79,1,10,100,0
79,2,10,100,0
