5958 64 70	100 110
1890 1 1.000000  7.809737 -18.325794 0  0.207484 -33.474482 0  -1.641374 0 0.417416  2.869222e-06
541 1 1.000000  33.932571 -21.899948 0  -0.405933 -33.357822 0  1.550813 0 0.941905  2.993347e-06
1890 1 1.000000  -0.645914 5.476279 0  -0.089449 -21.374965 0  -1.456617 0 0.177155  3.155195e-06
541 1 1.000000  36.778231 -28.972960 0  1.541676 -40.411127 0  1.016189 0 0.471486  2.382861e-06
1308 1 1.000000  -41.211418 30.341833 0  0.952508 -7.743080 0  -1.655471 0 0.574272  6.541126e-06
1308 1 1.000000  -26.980748 32.667630 0  0.751988 -5.035871 0  1.408233 0 0.893128  9.721497e-06
1890 1 1.000000  -9.310923 15.636922 0  5.597348 -16.196877 0  -1.951473 0 0.071342  4.742545e-06
1890 1 1.000000  29.919191 43.039984 0  -2.785546 -2.611555 0  -2.940851 0 0.280626  4.121077e-06
1890 1 1.000000  -10.775892 -22.896188 0  -2.900425 -35.030837 0  1.749298 0 0.734985  3.785800e-06
541 1 1.000000  33.028662 44.568326 0  -3.509278 -4.040874 0  -0.901132 0 0.548369  5.148154e-06
1308 1 1.000000  -36.984184 -21.604586 0  0.065704 -35.107523 0  -4.759808 0 0.984311  4.562116e-06
1890 1 1.000000  10.862139 35.572480 0  -2.710879 -8.589755 0  4.561765 0 0.177334  3.899425e-06
541 1 1.000000  35.558878 24.251369 0  0.886604 -8.836242 0  -1.672469 0 0.867383  7.639573e-06
1308 1 1.000000  -44.977137 -42.440401 0  0.751306 -46.553568 0  4.807207 0 0.617503  6.843787e-07
1308 1 1.000000  -35.415191 8.662983 0  -1.027308 -19.588496 0  1.132118 0 0.597324  6.099839e-06
1308 1 1.000000  -30.472167 -27.835834 0  0.457317 -40.854735 0  0.701357 0 0.323839  2.784379e-06
1890 1 1.000000  20.588881 -11.049937 0  0.941497 -26.626607 0  -4.693028 0 0.583546  4.474625e-06
1890 1 1.000000  -3.335389 0.256621 0  2.747501 -24.169170 0  1.570880 0 0.216505  2.260946e-06
1890 1 1.000000  -22.815137 -3.992950 0  1.250919 -25.392937 0  4.779766 0 0.518540  2.795351e-06
1308 1 1.000000  -26.967492 30.441265 0  -1.917140 -7.922980 0  3.528974 0 0.950844  8.023278e-06
1890 1 1.000000  13.389876 -20.225033 0  -1.491748 -31.695172 0  -1.547662 0 0.541696  3.466063e-06
1890 1 1.000000  -11.596334 -29.715895 0  3.959275 -26.704269 0  4.718124 0 0.271452  2.458286e-06
1308 1 1.000000  -34.820595 39.383558 0  -0.070198 -2.560103 0  1.479204 0 0.685577  6.021271e-06
541 1 1.000000  47.901424 -12.245816 0  -0.368042 -21.159343 0  -1.860201 0 0.392914  4.230642e-06
541 1 1.000000  36.048325 -27.894501 0  2.571432 -34.927132 0  2.508196 0 0.263153  2.004828e-06
1890 1 1.000000  -24.712281 16.566564 0  -0.313822 -14.247951 0  1.756396 0 0.602875  6.578763e-06
1890 1 1.000000  -13.230193 9.346717 0  -1.208149 -17.049254 0  -1.412723 0 0.511871  4.746712e-06
1890 1 1.000000  -19.394937 12.289141 0  -0.239695 -15.682453 0  1.059640 0 0.576274  6.483726e-06
1890 1 1.000000  22.034059 -14.544793 0  4.166788 -35.978856 0  -4.055426 0 0.530751  4.081643e-06
1890 1 1.000000  -14.688638 8.541783 0  -1.566538 -18.813689 0  1.698236 0 0.354127  4.108200e-06
541 1 1.000000  25.211892 8.046743 0  -1.713992 -20.414384 0  1.818582 0 0.736299  6.101939e-06
1308 1 1.000000  -28.752904 -20.194473 0  -0.607468 -36.483152 0  -1.265998 0 0.512002  2.951248e-06
1308 1 1.000000  -41.351635 25.077686 0  -2.867572 -9.688487 0  2.774123 0 0.364414  5.017920e-06
