6842 64 70	100 110
0 1 1.000000  42.308463 -42.103209 0  2.845339 -62.387473 0  1.754801 0 0.123451  9.065356e-07
0 1 1.000000  -18.333644 47.813183 0  0.360554 -2.118531 0  4.730343 0 0.892801  9.769769e-06
0 1 1.000000  -19.325160 34.436865 0  -0.391693 -7.334977 0  3.583160 0 0.630013  1.087325e-05
1 1 1.500000  -45.702992 36.956434 0  0.203142 -6.828496 0  2.011322 0 0.698527  1.186340e-05
1 1 1.500000  12.499407 47.838676 0  -3.584299 0.245382 0  0.048123 0 0.806302  1.321150e-05
1 1 1.500000  14.020263 15.947088 0  0.053402 -22.798941 0  1.839461 0 0.922869  9.475424e-06
0 1 1.000000  24.766880 17.751688 0  0.316595 -27.171476 0  1.848560 0 0.789595  9.792740e-06
0 1 1.000000  -19.948612 29.173257 0  2.473314 -10.113169 0  0.888855 0 0.452638  7.755759e-06
1 1 1.500000  -10.831229 -1.515630 0  -2.038472 -34.223445 0  -1.673843 0 0.799530  7.079311e-06
0 1 1.000000  -39.217645 35.270040 0  0.432578 -5.187920 0  0.151039 0 0.376392  8.021096e-06
1 1 1.500000  -35.051111 27.576409 0  2.402494 -11.507652 0  -0.815523 0 0.745436  1.020825e-05
0 1 1.000000  -19.524596 4.679650 0  2.213335 -24.651053 0  1.532368 0 0.568350  6.259390e-06
1 1 1.500000  -34.003411 -15.973491 0  0.561819 -42.935624 0  2.716727 0 0.529491  5.610871e-06
1 1 1.500000  5.759697 -23.763319 0  -1.430770 -46.139196 0  1.480517 0 0.561852  4.733400e-06
0 1 1.000000  -30.268210 -8.769212 0  -0.626112 -37.010701 0  1.881213 0 0.552209  5.527925e-06
0 1 1.000000  27.502300 5.076352 0  0.140682 -31.568022 0  1.009873 0 0.303681  4.968395e-06
0 1 1.000000  -19.285408 12.075027 0  1.787172 -21.380912 0  -1.655975 0 0.723519  6.746605e-06
0 1 1.000000  -3.041496 -31.723844 0  -2.130380 -57.117734 0  -1.742040 0 0.552618  2.804040e-06
1 1 1.500000  -10.366188 -6.266444 0  -4.021093 -36.213304 0  1.921553 0 0.899446  8.979354e-06
1 1 1.500000  -5.284276 -34.710179 0  1.204790 -63.024198 0  4.218100 0 0.780346  3.496746e-06
1 1 1.500000  -0.670033 -43.474576 0  -2.566260 -67.468645 0  -1.266058 0 0.781704  9.309713e-07
0 1 1.000000  -31.494561 37.339974 0  1.640311 -7.771535 0  -0.188663 0 0.270985  6.891131e-06
1 1 1.500000  -0.686886 46.561449 0  -1.751888 -1.072628 0  4.503974 0 0.124149  6.393920e-06
1 1 1.500000  7.825869 -19.046543 0  -0.887976 -46.858141 0  1.856320 0 0.776840  6.166829e-06
0 1 1.000000  -38.375425 -40.343691 0  6.313084 -63.337166 0  -1.739280 0 0.927606  1.582831e-06
0 1 1.000000  -26.268987 2.738966 0  1.613010 -29.629394 0  1.596295 0 1.063225  7.711434e-06
1 1 1.500000  20.093799 35.689403 0  0.841773 -3.907260 0  4.555031 0 0.252506  7.254009e-06
0 1 1.000000  -4.629031 -46.381111 0  -0.455465 -76.399135 0  -1.278699 0 0.748072  4.098684e-07
1 1 1.500000  -12.850757 -3.652657 0  -2.459447 -32.003021 0  5.111600 0 0.442386  6.090596e-06
0 1 1.000000  -25.502935 1.534630 0  1.360862 -27.372998 0  1.611372 0 0.386111  5.696154e-06
1 1 1.500000  28.307701 -19.899723 0  0.093963 -46.816371 0  1.275846 0 0.956538  6.534572e-06
0 1 1.000000  -16.879030 27.208622 0  13.980924 -16.824672 0  0.112220 0 0.542226  7.893165e-06
0 1 1.000000  -28.913909 37.961414 0  0.818690 -11.159447 0  1.675565 0 0.704484  1.004554e-05
1 1 1.500000  24.909746 48.336227 0  0.549572 -1.273385 0  -1.613383 0 0.463032  9.538751e-06
0 1 1.000000  -23.387642 -11.977066 0  -3.138707 -36.566227 0  1.501191 0 0.409981  5.364235e-06
1 1 1.500000  7.350711 13.073258 0  -0.055340 -25.257008 0  1.574578 0 0.773757  6.974100e-06
0 1 1.000000  -26.765987 -28.174813 0  -1.174310 -49.082722 0  -1.902102 0 0.702787  4.956908e-06
0 1 1.000000  -33.694627 -38.633501 0  2.745790 -66.645748 0  3.139790 0 0.138763  9.828248e-07
1 1 1.500000  1.759098 -26.772775 0  0.080739 -53.419565 0  1.865672 0 0.707990  4.429287e-06
1 1 1.500000  12.540110 50.171092 0  2.315414 -1.231891 0  0.018217 0 0.424818  6.555714e-06
0 1 1.000000  -24.484414 47.968190 0  0.429725 -1.332202 0  1.808911 0 0.794750  9.243766e-06
0 1 1.000000  35.964977 -45.141729 0  4.383400 -67.653322 0  4.778034 0 0.957628  6.226339e-07
1 1 1.500000  8.898115 37.378255 0  4.370448 -7.432615 0  -1.883703 0 0.751593  1.124648e-05
0 1 1.000000  31.078889 31.134843 0  1.881881 -10.599634 0  0.574945 0 0.467447  8.860508e-06
1 1 1.500000  0.146112 12.453637 0  -2.482088 -18.596619 0  -2.151374 0 0.248237  5.908108e-06
0 1 1.000000  -29.992621 13.308983 0  0.364161 -20.817794 0  1.677378 0 0.384471  6.543198e-06
0 1 1.000000  -40.893603 -33.643693 0  3.096444 -55.908718 0  1.389995 0 0.910867  3.315070e-06
1 1 1.500000  18.791803 44.909089 0  3.115171 -4.433990 0  -0.121330 0 0.644990  1.001727e-05
1 1 1.500000  -48.628989 -39.633451 0  1.048971 -45.093595 0  1.703295 0 0.301052  1.605077e-06
0 1 1.000000  34.021555 30.099686 0  -2.157017 -11.488895 0  2.024899 0 0.254828  6.324284e-06
0 1 1.000000  42.529255 40.573837 0  0.701001 -3.648082 0  1.543077 0 0.274662  6.417331e-06
1 1 1.500000  17.961838 3.218802 0  -1.066804 -27.358710 0  1.237557 0 0.570903  6.913491e-06
1 1 1.500000  11.015057 13.401628 0  1.604564 -20.380773 0  1.443277 0 0.725933  7.003058e-06
0 1 1.000000  -23.066317 -41.564974 0  -1.157201 -70.065150 0  -1.809011 0 0.453714  1.551274e-06
1 1 1.500000  29.990807 -9.774723 0  -1.362473 -23.294761 0  -2.331506 0 0.065086  5.186177e-06
1 1 1.500000  -46.521556 -8.905411 0  0.549662 -26.936892 0  -3.281241 0 0.078844  2.389326e-06
1 1 1.500000  -42.639088 41.974564 0  2.706277 -4.040235 0  -1.180517 0 0.312657  7.954347e-06
1 1 1.500000  22.944809 33.325577 0  -1.026297 -10.776291 0  1.055517 0 0.393023  7.989423e-06
1 1 1.500000  -27.603510 -30.589421 0  -1.368062 -52.834316 0  -1.469718 0 0.286244  4.356898e-06
0 1 1.000000  -6.358857 31.919979 0  -2.102033 -9.096881 0  4.293151 0 0.531672  1.004008e-05
0 1 1.000000  30.590771 21.818203 0  -2.425270 -16.624109 0  -1.004319 0 0.909003  1.121891e-05
0 1 1.000000  34.979077 18.770246 0  -1.361432 -18.110970 0  2.178755 0 0.270691  7.507701e-06
0 1 1.000000  -0.232679 23.601404 0  1.898328 -13.533680 0  -1.945996 0 0.491544  8.972463e-06
1 1 1.500000  7.427878 15.423150 0  6.416960 -22.965157 0  -1.503348 0 0.827668  1.136701e-05
0 1 1.000000  20.796703 11.730601 0  -0.323125 -25.630773 0  4.615222 0 0.365604  5.351321e-06
1 1 1.500000  11.698222 -15.939635 0  0.880912 -43.953961 0  1.764906 0 0.349189  4.818402e-06
0 1 1.000000  -30.586035 -22.799795 0  1.618281 -47.213567 0  1.223569 0 0.265715  3.776505e-06
1 1 1.500000  -28.389199 -14.750933 0  -1.048177 -38.200459 0  -3.232614 0 0.254907  4.053369e-06
1 1 1.500000  -9.677620 -15.689148 0  -1.082566 -52.620564 0  1.477403 0 0.873251  8.622122e-06
0 1 1.000000  -17.924362 -20.512322 0  -2.992013 -46.410879 0  1.823849 0 0.451918  3.958862e-06
0 1 1.000000  48.484158 -30.182167 0  1.152925 1.953643 0  -0.322366 0 0.271252  3.351804e-06
0 1 1.000000  40.624406 40.673259 0  -1.181640 -9.770137 0  1.282913 0 0.855585  1.052351e-05
0 1 1.000000  -12.651034 32.366870 0  -3.729795 -14.895784 0  1.637339 0 0.368310  6.572636e-06
0 1 1.000000  -36.814688 -46.793692 0  3.012750 -75.504139 0  1.377334 0 1.045547  1.321587e-07
0 1 1.000000  36.964327 -0.074878 0  -0.943223 -29.178438 0  2.013183 0 0.447150  5.831422e-06
0 1 1.000000  -38.135622 27.668372 0  2.257561 -10.599416 0  0.074301 0 0.593024  8.263083e-06
0 1 1.000000  -21.887029 28.809030 0  4.985655 -11.267883 0  1.799903 0 0.313933  5.569332e-06
0 1 1.000000  -49.047516 43.593793 0  -0.464518 -3.693476 0  1.551935 0 0.462150  8.286797e-06
1 1 1.500000  -32.367007 9.725698 0  2.475604 -23.822254 0  -1.179913 0 0.738937  9.495651e-06
0 1 1.000000  35.958699 31.027529 0  -0.274442 -14.069205 0  1.022047 0 0.996808  1.258089e-05
0 1 1.000000  -17.714180 -41.520770 0  -7.395407 -63.698332 0  1.731382 0 0.405996  1.020464e-06
1 1 1.500000  15.713518 -22.492698 0  -0.332730 -46.542011 0  1.442658 0 0.781359  5.254335e-06
0 1 1.000000  41.751817 -16.237959 0  -3.084217 -35.843387 0  1.936746 0 0.530158  6.163487e-06
1 1 1.500000  8.842641 13.658235 0  0.752520 -27.170430 0  -1.588802 0 0.375461  5.918801e-06
1 1 1.500000  5.390926 15.312005 0  0.087586 -23.749421 0  -4.104392 0 1.201565  1.320406e-05
0 1 1.000000  35.645045 38.720442 0  0.483380 -9.594368 0  4.647521 0 0.442154  7.434776e-06
1 1 1.500000  11.454363 -4.775784 0  -0.403321 -35.064085 0  1.303064 0 0.824893  6.641624e-06
1 1 1.500000  23.688433 -46.623891 0  3.764415 -71.053252 0  1.663829 0 0.873326  2.317751e-07
0 1 1.000000  -16.369877 40.577678 0  3.849790 -7.492127 0  5.113497 0 0.859442  9.975140e-06
1 1 1.500000  46.056943 19.668753 0  4.252656 -11.710958 0  0.543624 0 0.681864  1.093274e-05
1 1 1.500000  -49.593858 14.550504 0  0.434558 -5.491173 0  1.655614 0 0.810325  5.991467e-06
1 1 1.500000  -47.214854 -28.181464 0  -0.220449 -38.795162 0  -1.611485 0 0.431972  3.625247e-06
1 1 1.500000  1.205097 -20.013673 0  -2.637618 -41.063188 0  -1.492006 0 0.305386  3.523241e-06
0 1 1.000000  28.539923 23.237167 0  -2.398420 -14.095563 0  5.181443 0 0.516517  8.148825e-06
0 1 1.000000  44.968406 38.862581 0  -1.244393 0.035872 0  3.971002 0 0.294587  8.599962e-06
1 1 1.500000  29.427471 -32.734489 0  -0.998542 -61.180825 0  1.786937 0 0.659103  3.353608e-06
1 1 1.500000  -33.064482 28.499260 0  2.056561 -12.068967 0  -0.747669 0 0.462021  1.002978e-05
0 1 1.000000  23.120704 26.050677 0  -1.484032 -13.786266 0  1.024527 0 0.276234  9.125977e-06
0 1 1.000000  -25.629288 44.140259 0  1.334895 -3.016298 0  -2.269378 0 0.849737  1.076375e-05
0 1 1.000000  -43.829581 38.481461 0  0.539669 -4.568851 0  3.209808 0 0.728876  8.053535e-06
1 1 1.500000  2.930064 -45.540856 0  1.828602 -75.396150 0  1.334838 0 0.553248  3.575007e-07
0 1 1.000000  -23.236553 27.079112 0  5.654183 -10.615100 0  1.361650 0 0.378574  8.132384e-06
1 1 1.500000  -45.060233 2.315355 0  -0.836316 -17.877208 0  1.603253 0 1.037460  9.803441e-06
0 1 1.000000  -17.794258 33.485619 0  -0.057041 -6.928854 0  -1.439588 0 1.117165  1.227767e-05
1 1 1.500000  -9.509292 -25.981162 0  -2.722233 -50.515060 0  -1.764218 0 0.795703  5.505874e-06
1 1 1.500000  -36.088115 34.772039 0  1.344845 -7.232861 0  -1.187449 0 1.039554  1.423302e-05
0 1 1.000000  32.334071 14.794595 0  -0.089433 -18.894069 0  4.752025 0 0.307457  5.254023e-06
0 1 1.000000  -13.918116 45.099785 0  0.080326 -1.649805 0  -0.885648 0 0.870659  1.264717e-05
1 1 1.500000  -39.136647 -6.472374 0  2.807479 -34.007478 0  -1.445290 0 0.401019  4.779713e-06
0 1 1.000000  -35.539227 -30.583130 0  0.202786 -54.847893 0  1.373304 0 0.459277  3.408079e-06
1 1 1.500000  13.078477 -13.372980 0  -0.718734 -40.557162 0  1.977194 0 0.341841  4.366394e-06
0 1 1.000000  -11.244118 32.902827 0  -2.276385 -10.278179 0  1.336231 0 0.568313  1.008248e-05
