6164 64 70	100 110
0 1 1.000000  26.670934 13.518340 0  3.633118 -19.710368 0  -1.368532 0 0.553166  6.369927e-06
1 1 1.500000  -47.844339 -33.319366 0  1.033189 -56.745644 0  1.655847 0 0.684864  2.728351e-06
1 1 1.500000  -44.132599 41.420116 0  -0.625801 -4.368961 0  -0.432802 0 0.528046  8.692988e-06
1 1 1.500000  5.930312 -8.799060 0  0.861229 -34.779131 0  -5.404280 0 0.374579  5.273280e-06
1 1 1.500000  3.800099 -28.961575 0  5.107736 -52.628441 0  1.633004 0 0.565433  2.587713e-06
1 1 1.500000  -3.028911 17.059855 0  3.280400 -19.160391 0  5.206357 0 0.290651  7.976646e-06
1 1 1.500000  0.561352 12.644800 0  3.571687 -19.723272 0  4.260199 0 0.291043  5.324255e-06
0 1 1.000000  14.247961 9.866199 0  6.291709 -22.641892 0  1.934561 0 0.818589  8.700493e-06
1 1 1.500000  -7.289558 -19.431007 0  2.418412 -43.420963 0  -1.245745 0 0.917709  5.768719e-06
0 1 1.000000  24.372348 10.439866 0  1.850040 -23.477017 0  1.763956 0 0.499709  6.247614e-06
0 1 1.000000  32.355681 -28.745449 0  7.575957 -49.092802 0  -0.302595 0 0.359138  2.976119e-06
1 1 1.500000  4.802035 24.370110 0  3.994240 -11.466330 0  2.026404 0 0.392124  6.585026e-06
0 1 1.000000  23.166496 7.053996 0  -1.446574 -23.367426 0  4.591196 0 0.840063  7.439722e-06
1 1 1.500000  -43.859836 28.258000 0  3.198167 -14.845062 0  -0.702102 0 0.247386  6.807233e-06
0 1 1.000000  28.849779 37.654381 0  4.919807 -2.112451 0  -1.281528 0 0.495175  8.283286e-06
1 1 1.500000  -24.726187 -14.677540 0  1.578424 -46.970177 0  1.673993 0 0.733680  5.619520e-06
1 1 1.500000  -6.516424 -19.485141 0  2.519037 -43.290103 0  -1.314506 0 0.850109  4.468070e-06
1 1 1.500000  -37.148100 32.694255 0  -0.196860 -6.611278 0  2.063123 0 0.879402  1.255043e-05
0 1 1.000000  14.425931 7.943601 0  6.003319 -22.600262 0  1.885663 0 0.371927  6.033901e-06
1 1 1.500000  -31.727644 36.031168 0  3.828715 -9.925591 0  0.636384 0 0.869745  1.252125e-05
0 1 1.000000  14.276129 -23.953915 0  1.590701 -44.751726 0  4.764953 0 0.423790  3.353725e-06
1 1 1.500000  -45.910478 -46.181561 0  4.082044 -68.748672 0  1.318369 0 0.820370  2.487887e-07
0 1 1.000000  37.353460 41.452618 0  -0.635767 -2.835094 0  -3.414419 0 0.286987  6.225703e-06
1 1 1.500000  1.697511 -25.197706 0  2.158058 -51.067899 0  1.351708 0 0.638867  4.691898e-06
1 1 1.500000  -14.737930 -22.453221 0  2.813686 -45.967572 0  1.375384 0 0.519938  3.767699e-06
1 1 1.500000  0.847137 -0.615509 0  5.592965 -26.025925 0  1.344737 0 0.712919  7.983541e-06
1 1 1.500000  2.740933 -3.760637 0  4.253549 -29.595965 0  4.977353 0 0.634443  6.063254e-06
1 1 1.500000  -33.092653 33.963920 0  3.094498 -10.047299 0  0.835137 0 0.880708  1.167937e-05
0 1 1.000000  22.013305 -2.911741 0  3.471188 -29.519954 0  1.888102 0 0.843316  7.976142e-06
1 1 1.500000  -48.654019 -40.704971 0  0.690147 -58.665377 0  -4.789222 0 0.287958  1.486256e-06
1 1 1.500000  1.393476 12.065692 0  3.254597 -21.922024 0  4.678205 0 0.718643  7.272193e-06
0 1 1.000000  3.382419 43.905427 0  -0.386018 -1.553373 0  -0.277812 0 0.306137  7.482274e-06
1 1 1.500000  -4.852661 -41.616712 0  -4.078503 -74.946509 0  1.995764 0 0.734964  1.805656e-06
1 1 1.500000  -28.632225 3.352324 0  1.881415 -25.967183 0  2.030116 0 0.300526  7.140071e-06
1 1 1.500000  -45.870284 23.595380 0  1.057737 -15.714286 0  1.045899 0 0.729864  9.836859e-06
1 1 1.500000  -11.468727 8.255894 0  2.788329 -22.031149 0  -1.094620 0 0.669991  7.696388e-06
