stage_position,position_within_field_of_view,R,G
0,0,3,3
0,1,4,3
0,2,6,3
1,0,9,1
1,1,2,2
1,2,7,3
2,0,8,6
2,1,7,4
2,2,5,4
3,0,4,3
3,1,7,6
3,2,6,4
4,0,2,1
4,1,6,5
4,2,4,1
5,0,5,4
5,1,5,5
5,2,6,2
6,0,5,2
6,1,5,5
6,2,4,3
7,0,4,4
7,1,4,3
7,2,4,3
8,0,8,6
8,1,5,2
8,2,7,3
9,0,5,6
9,1,3,3
9,2,4,4
10,0,7,5
10,1,9,6
10,2,5,3
11,0,5,5
11,1,7,4
11,2,6,3
12,0,7,3
12,1,8,7
12,2,6,4
13,0,6,6
13,1,7,6
13,2,8,7
14,0,6,6
14,1,7,5
14,2,8,5
15,0,5,6
15,1,4,2
15,2,5,3
16,0,6,5
16,1,6,4
16,2,7,5
17,0,6,5
17,1,8,7
17,2,8,6
18,0,7,7
18,1,8,7
18,2,8,6
19,0,8,6
19,1,8,6
19,2,10,9
20,0,10,9
20,1,8,8
20,2,7,4
21,0,9,4
21,1,8,5
21,2,10,4
22,0,10,4
22,1,6,6
22,2,6,4
23,0,8,7
23,1,5,6
23,2,5,6
24,0,7,6
24,1,7,4
24,2,9,6
25,0,8,7
25,1,5,5
25,2,6,5
26,0,8,6
26,1,5,5
26,2,9,6
27,0,7,8
27,1,8,7
27,2,8,5
28,0,9,9
28,1,8,8
28,2,7,8
29,0,10,6
29,1,10,6
29,2,8,8
30,0,8,6
30,1,9,8
30,2,9,6
31,0,9,8
31,1,7,7
31,2,8,6
32,0,10,6
32,1,7,7
32,2,9,7
33,0,4,5
33,1,8,8
33,2,7,6
34,0,9,9
34,1,7,5
34,2,6,6
35,0,6,5
35,1,6,4
35,2,8,6
36,0,6,6
36,1,5,6
36,2,4,6
37,0,5,6
37,1,5,9
37,2,6,8
38,0,5,7
38,1,6,9
38,2,4,5
39,0,6,9
39,1,2,9
39,2,6,8
40,0,6,12
40,1,4,9
40,2,6,9
41,0,6,7
41,1,4,8
41,2,5,5
42,0,3,6
42,1,5,7
42,2,7,5
43,0,3,5
43,1,3,6
43,2,4,4
44,0,2,5
44,1,4,6
44,2,5,5
45,0,5,9
45,1,6,9
45,2,6,7
46,0,4,5
46,1,6,9
46,2,5,8
47,0,6,6
47,1,6,6
47,2,3,5
48,0,4,5
48,1,5,5
48,2,5,6
49,0,5,5
49,1,5,4
49,2,5,6
50,0,4,6
50,1,3,9
50,2,7,8
51,0,8,8
51,1,6,8
51,2,4,6
52,0,3,6
52,1,5,7
52,2,5,6
53,0,3,6
53,1,6,6
53,2,4,7
54,0,5,6
54,1,5,5
54,2,5,5
55,0,8,6
55,1,6,7
55,2,7,4
56,0,4,5
56,1,3,5
56,2,5,3
57,0,5,7
57,1,6,7
57,2,5,6
58,0,5,9
58,1,6,7
58,2,6,7
59,0,9,8
59,1,7,7
59,2,4,6
60,0,5,5
60,1,5,8
60,2,6,10
61,0,5,9
61,1,6,7
61,2,2,6
62,0,5,4
62,1,7,7
62,2,7,7
63,0,5,7
63,1,3,6
63,2,4,7
64,0,4,5
64,1,4,4
64,2,4,4
65,0,4,3
65,1,6,4
65,2,2,2
66,0,5,3
66,1,6,3
66,2,2,1
67,0,4,4
67,1,5,6
67,2,1,2
68,0,4,7
68,1,5,6
68,2,7,5
69,0,5,2
69,1,6,6
69,2,7,5
70,0,7,5
70,1,6,6
70,2,5,5
71,0,6,7
71,1,5,7
71,2,4,4
72,0,0,1
72,1,2,2
72,2,3,3
73,0,5,6
73,1,2,2
73,2,3,5
74,0,2,1
74,1,2,3
74,2,2,3
75,0,2,2
75,1,3,5
75,2,3,1
76,0,1,1
76,1,2,3
76,2,3,4
77,0,1,1
77,1,2,2
77,2,0,1
78,0,3,1
78,1,6,5
78,2,5,5
79,0,4,4
79,1,7,5
79,2,9,7
