stage_position,position_within_field_of_view,R,G
0,0,1,1
0,1,1,0
0,2,1,0
1,0,1,0
1,1,1,1
1,2,1,2
2,0,1,0
2,1,2,2
2,2,2,2
3,0,3,3
3,1,2,2
3,2,1,0
4,0,1,1
4,1,2,2
4,2,2,2
5,0,3,2
5,1,1,1
5,2,2,2
6,0,1,1
6,1,1,1
6,2,1,1
7,0,1,0
7,1,1,2
7,2,1,2
8,0,2,1
8,1,1,2
8,2,2,2
9,0,1,1
9,1,1,0
9,2,1,1
10,0,1,1
10,1,1,0
10,2,1,1
11,0,1,1
11,1,2,1
11,2,2,1
12,0,1,1
12,1,1,0
12,2,1,1
13,0,1,0
13,1,1,1
13,2,1,0
14,0,2,1
14,1,2,1
14,2,2,1
15,0,1,1
15,1,2,1
15,2,2,1
16,0,2,1
16,1,2,2
16,2,2,1
17,0,1,1
17,1,1,0
17,2,1,1
18,0,1,1
18,1,1,1
18,2,1,1
19,0,1,0
19,1,1,0
19,2,1,1
20,0,1,0
20,1,1,0
20,2,1,0
21,0,2,1
21,1,1,0
21,2,2,2
22,0,1,2
22,1,2,1
22,2,1,1
23,0,3,2
23,1,2,2
23,2,2,2
24,0,4,3
24,1,2,2
24,2,3,3
25,0,1,1
25,1,1,1
25,2,2,1
26,0,2,1
26,1,1,0
26,2,2,2
27,0,1,1
27,1,1,1
27,2,2,1
28,0,2,2
28,1,1,0
28,2,4,3
29,0,3,2
29,1,1,1
29,2,1,1
30,0,1,0
30,1,1,1
30,2,2,2
31,0,1,0
31,1,1,1
31,2,1,0
32,0,2,2
32,1,2,1
32,2,1,1
33,0,1,2
33,1,2,2
33,2,2,1
34,0,3,2
34,1,1,2
34,2,1,2
35,0,1,0
35,1,1,0
35,2,2,1
36,0,1,1
36,1,1,0
36,2,2,3
37,0,2,1
37,1,1,0
37,2,1,1
38,0,1,1
38,1,1,1
38,2,2,2
39,0,1,0
39,1,1,0
39,2,1,1
40,0,1,0
40,1,1,0
40,2,1,0
41,0,1,0
41,1,1,0
41,2,1,0
42,0,1,1
42,1,1,0
42,2,1,0
43,0,1,1
43,1,1,1
43,2,1,0
44,0,1,1
44,1,2,2
44,2,1,1
45,0,3,2
45,1,4,3
45,2,3,2
46,0,3,4
46,1,2,2
46,2,1,0
47,0,2,1
47,1,1,0
47,2,1,0
48,0,1,0
48,1,1,0
48,2,1,0
49,0,1,0
49,1,1,0
49,2,1,0
50,0,1,0
50,1,1,0
50,2,1,1
51,0,1,0
51,1,1,0
51,2,1,0
52,0,1,0
52,1,1,0
52,2,1,1
53,0,1,0
53,1,1,0
53,2,2,2
54,0,2,2
54,1,2,1
54,2,1,0
55,0,1,1
55,1,1,1
55,2,2,1
56,0,1,1
56,1,2,2
56,2,1,0
57,0,1,0
57,1,1,0
57,2,1,0
58,0,1,0
58,1,1,0
58,2,1,0
59,0,1,0
59,1,1,0
59,2,1,0
60,0,1,1
60,1,1,1
60,2,1,1
61,0,1,0
61,1,1,0
61,2,1,1
62,0,2,1
62,1,1,0
62,2,1,0
63,0,1,1
63,1,3,2
63,2,2,3
64,0,2,2
64,1,2,2
64,2,2,2
65,0,3,2
65,1,2,2
65,2,3,2
66,0,4,3
66,1,1,1
66,2,1,1
67,0,1,1
67,1,1,1
67,2,1,1
68,0,1,0
68,1,2,1
68,2,1,1
69,0,2,1
69,1,1,0
69,2,1,0
70,0,1,1
70,1,1,1
70,2,1,1
71,0,1,0
71,1,1,0
71,2,0,1
72,0,0,1
72,1,2,1
72,2,1,1
73,0,2,2
73,1,1,2
73,2,2,2
74,0,2,2
74,1,0,1
74,2,2,3
75,0,1,2
75,1,1,2
75,2,2,2
76,0,1,1
76,1,0,1
76,2,1,1
77,0,2,2
77,1,1,1
77,2,0,1
78,0,0,1
78,1,3,2
78,2,1,1
79,0,3,3
79,1,4,3
79,2,2,1
