pi,ti,zi,ni,n1,n2,ns1,ns2,Nsecs,xpos
0,0,0,0,284,0,0,1,1,0,283
0,0,0,1,282,0,0,1,1,0,281
0,0,0,2,221,58,2,3,5,0,86,118,144,170,278
0,1,0,0,284,0,0,1,1,0,283
0,1,0,1,282,0,0,1,1,0,281
0,1,0,2,274,5,1,2,3,0,41,46,278
0,2,0,0,284,0,0,1,1,0,283
0,2,0,1,282,0,0,1,1,0,281
0,2,0,2,279,0,0,1,1,0,278
0,3,0,0,284,0,0,1,1,0,283
0,3,0,1,282,0,0,1,1,0,281
0,3,0,2,279,0,0,1,1,0,278
0,4,0,0,284,0,0,1,1,0,283
0,4,0,1,282,0,0,1,1,0,281
0,4,0,2,279,0,0,1,1,0,278
0,5,0,0,284,0,0,1,1,0,283
0,5,0,1,282,0,0,1,1,0,281
0,5,0,2,279,0,0,1,1,0,278
0,6,0,0,284,0,0,1,1,0,283
0,6,0,1,282,0,0,1,1,0,281
0,6,0,2,279,0,0,1,1,0,278
0,7,0,0,284,0,0,1,1,0,283
0,7,0,1,282,0,0,1,1,0,281
0,7,0,2,270,9,1,2,3,0,247,256,278
0,8,0,0,284,0,0,1,1,0,283
0,8,0,1,282,0,0,1,1,0,281
0,8,0,2,250,29,3,4,7,0,122,132,153,160,226,238,278
0,9,0,0,284,0,0,1,1,0,283
0,9,0,1,282,0,0,1,1,0,281
0,9,0,2,258,21,2,3,5,0,29,40,127,137,278
0,10,0,0,284,0,0,1,1,0,283
0,10,0,1,261,21,1,2,3,0,216,237,281
0,10,0,2,223,56,2,2,4,0,4,25,76,278
0,11,0,0,284,0,0,1,1,0,283
0,11,0,1,282,0,0,1,1,0,281
0,11,0,2,223,56,3,3,6,0,10,14,48,64,75,278
0,12,0,0,284,0,0,1,1,0,283
0,12,0,1,282,0,0,1,1,0,281
0,12,0,2,212,67,2,2,4,0,34,124,156,278
0,13,0,0,284,0,0,1,1,0,283
0,13,0,1,282,0,0,1,1,0,281
0,13,0,2,205,74,2,2,4,0,33,131,171,278
0,14,0,0,284,0,0,1,1,0,283
0,14,0,1,282,0,0,1,1,0,281
0,14,0,2,211,68,2,2,4,0,28,144,183,278
0,15,0,0,284,0,0,1,1,0,283
0,15,0,1,282,0,0,1,1,0,281
0,15,0,2,220,59,2,2,4,0,27,146,177,278
0,16,0,0,284,0,0,1,1,0,283
0,16,0,1,282,0,0,1,1,0,281
0,16,0,2,229,50,2,2,4,0,39,154,164,278
0,17,0,0,284,0,0,1,1,0,283
0,17,0,1,282,0,0,1,1,0,281
0,17,0,2,244,35,1,2,3,0,10,45,278
0,18,0,0,284,0,0,1,1,0,283
0,18,0,1,282,0,0,1,1,0,281
0,18,0,2,248,31,1,2,3,0,13,44,278
0,19,0,0,284,0,0,1,1,0,283
0,19,0,1,282,0,0,1,1,0,281
0,19,0,2,247,32,1,2,3,0,13,45,278
0,20,0,0,284,0,0,1,1,0,283
0,20,0,1,282,0,0,1,1,0,281
0,20,0,2,243,36,1,2,3,0,18,54,278
0,21,0,0,284,0,0,1,1,0,283
0,21,0,1,282,0,0,1,1,0,281
0,21,0,2,250,29,1,2,3,0,25,54,278
0,22,0,0,284,0,0,1,1,0,283
0,22,0,1,282,0,0,1,1,0,281
0,22,0,2,256,23,1,2,3,0,19,42,278
0,23,0,0,284,0,0,1,1,0,283
0,23,0,1,282,0,0,1,1,0,281
0,23,0,2,247,32,2,3,5,0,11,33,165,175,278
0,24,0,0,284,0,0,1,1,0,283
0,24,0,1,282,0,0,1,1,0,281
0,24,0,2,245,34,2,3,5,0,10,30,163,177,278
0,25,0,0,284,0,0,1,1,0,283
0,25,0,1,282,0,0,1,1,0,281
0,25,0,2,221,58,2,3,5,0,9,42,151,176,278
0,26,0,0,284,0,0,1,1,0,283
0,26,0,1,282,0,0,1,1,0,281
0,26,0,2,208,71,2,3,5,0,8,56,147,170,278
0,27,0,0,284,0,0,1,1,0,283
0,27,0,1,282,0,0,1,1,0,281
0,27,0,2,234,45,3,4,7,0,4,7,15,36,150,171,278
0,28,0,0,284,0,0,1,1,0,283
0,28,0,1,282,0,0,1,1,0,281
0,28,0,2,216,63,3,4,7,0,5,8,18,28,159,209,278
0,29,0,0,284,0,0,1,1,0,283
0,29,0,1,282,0,0,1,1,0,281
0,29,0,2,212,67,3,4,7,0,6,9,21,37,172,220,278
0,30,0,0,284,0,0,1,1,0,283
0,30,0,1,282,0,0,1,1,0,281
0,30,0,2,179,100,3,4,7,0,23,50,108,138,179,222,278
0,31,0,0,284,0,0,1,1,0,283
0,31,0,1,282,0,0,1,1,0,281
0,31,0,2,156,123,4,4,8,0,7,26,50,90,142,183,222,278
0,32,0,0,284,0,0,1,1,0,283
0,32,0,1,282,0,0,1,1,0,281
0,32,0,2,194,85,4,4,8,0,8,33,35,85,124,183,218,278
0,33,0,0,284,0,0,1,1,0,283
0,33,0,1,282,0,0,1,1,0,281
0,33,0,2,196,83,3,3,6,0,9,87,119,171,212,278
0,34,0,0,284,0,0,1,1,0,283
0,34,0,1,282,0,0,1,1,0,281
0,34,0,2,194,85,3,3,6,0,11,95,121,158,205,278
0,35,0,0,284,0,0,1,1,0,283
0,35,0,1,282,0,0,1,1,0,281
0,35,0,2,201,78,3,3,6,0,9,100,121,151,198,278
0,36,0,0,284,0,0,1,1,0,283
0,36,0,1,282,0,0,1,1,0,281
0,36,0,2,211,68,3,3,6,0,6,101,121,151,192,278
0,37,0,0,284,0,0,1,1,0,283
0,37,0,1,282,0,0,1,1,0,281
0,37,0,2,218,61,3,3,6,0,1,101,122,149,187,278
0,38,0,0,284,0,0,1,1,0,283
0,38,0,1,282,0,0,1,1,0,281
0,38,0,2,223,56,2,3,5,0,104,125,150,185,278
0,39,0,0,284,0,0,1,1,0,283
0,39,0,1,282,0,0,1,1,0,281
0,39,0,2,226,53,2,3,5,0,107,126,151,185,278
0,40,0,0,284,0,0,1,1,0,283
0,40,0,1,282,0,0,1,1,0,281
0,40,0,2,226,53,2,3,5,0,110,129,152,186,278
0,41,0,0,284,0,0,1,1,0,283
0,41,0,1,282,0,0,1,1,0,281
0,41,0,2,221,58,3,3,6,0,1,109,130,151,186,278
0,42,0,0,284,0,0,1,1,0,283
0,42,0,1,271,11,1,2,3,0,199,210,281
0,42,0,2,211,68,3,3,6,0,8,109,132,152,188,278
1,0,0,0,287,0,0,1,1,0,286
1,0,0,1,275,0,0,1,1,0,274
1,0,0,2,277,0,0,1,1,0,276
1,1,0,0,287,0,0,1,1,0,286
1,1,0,1,275,0,0,1,1,0,274
1,1,0,2,277,0,0,1,1,0,276
1,2,0,0,287,0,0,1,1,0,286
1,2,0,1,275,0,0,1,1,0,274
1,2,0,2,277,0,0,1,1,0,276
1,3,0,0,287,0,0,1,1,0,286
