stage_position,position_within_field_of_view,sine_amplitude,sine_period
0,0,10,0
0,1,10,0
0,2,10,0
1,0,10,0
1,1,10,0
1,2,10,0
2,0,10,0
2,1,10,0
2,2,10,0
3,0,10,10
3,1,10,10
3,2,10,0
4,0,10,10
4,1,10,10
4,2,10,10
5,0,10,20
5,1,10,20
5,2,10,20
6,0,10,50
6,1,10,20
6,2,10,20
7,0,10,50
7,1,10,50
7,2,10,50
8,0,10,100
8,1,10,100
8,2,10,50
9,0,10,100
9,1,10,100
9,2,10,100
10,0,10,0
10,1,10,0
10,2,10,0
11,0,10,0
11,1,10,0
11,2,10,0
12,0,10,0
12,1,10,0
12,2,10,0
13,0,10,10
13,1,10,10
13,2,10,0
14,0,10,10
14,1,10,10
14,2,10,10
15,0,10,20
15,1,10,20
15,2,10,20
16,0,10,50
16,1,10,20
16,2,10,20
17,0,10,50
17,1,10,50
17,2,10,50
18,0,10,100
18,1,10,100
18,2,10,50
19,0,10,100
19,1,10,100
19,2,10,100
20,0,10,0
20,1,10,0
20,2,10,0
21,0,10,0
21,1,10,0
21,2,10,0
22,0,10,0
22,1,10,0
22,2,10,0
23,0,10,10
23,1,10,10
23,2,10,0
24,0,10,10
24,1,10,10
24,2,10,10
25,0,10,20
25,1,10,20
25,2,10,20
26,0,10,50
26,1,10,20
26,2,10,20
27,0,10,50
27,1,10,50
27,2,10,50
28,0,10,100
28,1,10,100
28,2,10,50
29,0,10,100
29,1,10,100
29,2,10,100
30,0,10,0
30,1,10,0
30,2,10,0
31,0,10,0
31,1,10,0
31,2,10,0
32,0,10,0
32,1,10,0
32,2,10,0
33,0,10,10
33,1,10,10
33,2,10,0
34,0,10,10
34,1,10,10
34,2,10,10
35,0,10,20
35,1,10,20
35,2,10,20
36,0,10,50
36,1,10,20
36,2,10,20
37,0,10,50
37,1,10,50
37,2,10,50
38,0,10,100
38,1,10,100
38,2,10,50
39,0,10,100
39,1,10,100
39,2,10,100
40,0,20,100
40,1,20,100
40,2,20,100
41,0,20,100
41,1,20,100
41,2,20,50
42,0,20,50
42,1,20,50
41,2,20,50
43,0,20,50
43,1,20,20
43,2,20,20
44,0,20,20
44,1,20,20
44,2,20,20
45,0,20,10
45,1,20,10
45,2,20,10
46,0,20,10
46,1,20,10
46,2,20,0
47,0,20,0
47,1,20,0
47,2,20,0
48,0,20,0
48,1,20,0
48,2,20,0
49,0,20,0
49,1,20,0
49,2,20,0
50,0,20,100
50,1,20,100
50,2,20,100
51,0,20,100
51,1,20,100
51,2,20,50
52,0,20,50
52,1,20,50
52,2,20,50
53,0,20,50
53,1,20,20
53,2,20,20
54,0,20,20
54,1,20,20
54,2,20,20
55,0,20,10
55,1,20,10
55,2,20,10
56,0,20,10
56,1,20,10
56,2,20,0
57,0,20,0
57,1,20,0
57,2,20,0
58,0,20,0
58,1,20,0
58,2,20,0
59,0,20,0
59,1,20,0
59,2,20,0
60,0,20,100
60,1,20,100
60,2,20,100
61,0,20,100
61,1,20,100
61,2,20,50
62,0,20,50
62,1,20,50
62,2,20,50
63,0,20,50
63,1,20,20
63,2,20,20
64,0,20,20
64,1,20,20
64,2,20,20
65,0,20,10
65,1,20,10
65,2,20,10
66,0,20,10
66,1,20,10
66,2,20,0
67,0,20,0
67,1,20,0
67,2,20,0
68,0,20,0
68,1,20,0
68,2,20,0
69,0,20,0
69,1,20,0
69,2,20,0
70,0,20,100
70,1,20,100
70,2,20,100
71,0,20,100
71,1,20,100
71,2,20,50
72,0,20,50
72,1,20,50
72,2,20,50
73,0,20,50
73,1,20,20
73,2,20,20
74,0,20,20
74,1,20,20
74,2,20,20
75,0,20,10
75,1,20,10
75,2,20,10
76,0,20,10
76,1,20,10
76,2,20,0
77,0,20,0
77,1,20,0
77,2,20,0
78,0,20,0
78,1,20,0
78,2,20,0
79,0,20,0
79,1,20,0
79,2,20,0
